,social media,meaning AI,contact AI,experience AI,performance A,user experience A,performance 1,user experience 1,preference,motivation,importance transparency,importance adaptability,additional comments
0,4,4,3,4,4,9,6,6,Model 1,"My ""best"" picture scores higher",4,5,
1,5,5,4,4,6,9,7,8,No preference,"In both models, I understand a part of the ranking scores very well, but sometimes not. I think one model slightly more accurate than model A, but the difference is small.",5,5,"An important caveat to AI is indeed transparency is often forgotten. A related phenomenon is that the user, who his / her choices on bases do not know the underlying inputs and tradeoffs are. Thus laziness (under the heading ""convenience and efficiency"") deficiency quickly and mismanagement. AI, even if the motor is correct, facilitates mindless eenheidsworsterij until we recognize its limitations."
2,3,5,5,5,8,8,7,6,Model A,"It's nice to get a brief explanation to because you are not familiar with the app. In addition, you can easily see how you can improve the picture",4,5,Success!
3,3,5,5,4,7,9,8,9,Model 1,This model gives sharper pictures a higher ranking (I think),5,4,
4,5,5,5,4,8,10,10,9,Model A,"Model 1 gives me do the right picture as No. 1, but the user experience of model A is better. It is very interesting to see where he scores well. This way you get yourself to new insights. It must be arranged as the pictures 1 and 2 have almost the same quality.",5,5,Teunis really cool. This is seriously very important in many decisions. Similarly in healthcare. Will you send a link to a podcast allows them frolic without great success. Gr. ...
5,3,5,4,4,4,7,7,6,Model 1,There were few differences was better ranked in the scores of A. Model 1 Model. (Curious about the algorithm). I was not entirely clear what the purpose of the rankings.,4,4,If you have specific questions. ... success!
6,3,5,5,4,5,5,8,8,Model 1,"view out the window without frame and curtain, at least at the top came.",1,3,"Transparency is a trained model, but limited. Here I had in both cases no transparantie.Daarom not important. Whether it is an important AI choice made to fit depends very afvan the kind of choice ... ;-)"
7,4,5,5,5,8,8,8,7,Model A,To adjust to,4,5,Super interesting! Does thinking about who decides what quality is.
8,5,5,5,5,9,9,8,6,Model A,issues important,5,4,
9,1,5,3,3,5,3,3,3,Model A,Otherwise it is a pure black box.,5,5,interface sucks big time. Way too brief.
